asset,date,open,high,low,close,volume,return_1d,log_return,volatility_20d_ann,ma_gap_20_60,drawdown_126d,hmm_state,hmm_label,hmm_label_code,prob_bear,prob_neutral,prob_bull,smooth_prob_bear_5,smooth_prob_neutral_5,smooth_prob_bull_5,state_mean_daily_return,state_ann_return,state_ann_vol,state_sharpe,state_count,model_loglik,target_label_plus_1_steps,target_code_plus_1_steps
GLD,2026-01-08,406.9700012,411.6400146,406.3999939,411.4899902,8705900,0.005522515914,0.005507322733,0.2264756737,0.04039301353,-0.01259778309,0,Bear,0,0.9999965508,3.366535731e-06,8.264807311e-08,0.3974946593,0.3977346171,0.2047707236,-0.0001682993943,-0.04152466271,0.2530735058,-0.1640814299,149,-1984.390779,Bear,0
GLD,2026-01-15,423.019989,425.0599976,422.7900085,423.3299866,14253200,-0.006127660831,-0.006146511993,0.2359966809,0.05092859635,-0.006127660831,0,Bear,0,0.9999999962,7.798065217e-10,2.989774348e-09,0.5974946026,0.1977346771,0.2047707203,-6.314760715e-05,-0.01578725104,0.2491181169,-0.06337255287,157,-1988.885643,Bear,0
GLD,2026-01-23,454.1099854,458.75,453.4500122,458,21531900,0.01374530498,0.0136516951,0.2642782424,0.06003421329,0,0,Bear,0,1,1.032450106e-14,2.03196748e-14,0.7974864139,0.00252725886,0.1999863272,0.0004878237653,0.1308070585,0.2513924607,0.5203300774,163,-1985.067772,Bear,0
GLD,2026-01-30,466.25,470.0599976,430.7999878,444.9500122,86593500,-0.1027424527,-0.1084123374,0.4740791631,0.07874684497,-0.1027424527,0,Bear,0,1,3.178614951e-53,1.987833146e-183,0.9974775713,0.002522411577,1.712757356e-08,0.0004463035427,0.1190369986,0.3141513895,0.3789160341,127,-1937.370901,Bear,0
GLD,2026-02-06,450.730011,456.9299927,450.0299988,455.4599915,12663900,0.03073229479,0.03026951544,0.5556576503,0.08444465206,-0.08154870526,0,Bear,0,1,5.281047296e-41,7.326793238e-175,0.9999993094,6.734631095e-07,1.712757355e-08,0.0003800810038,0.1005173781,0.3323734193,0.3024230347,128,-1870.451028,Bear,0
GLD,2026-02-13,459.730011,463.8399963,456.25,462.6199951,12359300,0.02487866391,0.02457422891,0.5823509791,0.09027040787,-0.06711030286,0,Bear,0,1,3.65137506e-46,3.050953913e-180,0.9999999992,1.559633692e-10,5.979589335e-10,0.000650705066,0.1781880137,0.3369953827,0.5287550596,130,-1824.841175,Neutral,1
GLD,2026-02-23,474.6499939,481.4599915,474.6099854,481.2799988,17441600,0.02701550039,0.02665702372,0.5906623023,0.08427808466,-0.02948174087,0,Neutral,1,1.201097063e-48,1,1.030897446e-168,0.8,0.2,4.06393496e-15,0.001516144624,0.4653123755,0.3420265324,1.360456957,127,-1780.33897,Bear,0
GLD,2026-03-02,490.1000061,492.1499939,483.2799988,490,19916600,0.01291989664,0.01283714676,0.4082376094,0.06843873641,-0.01189754783,0,Bear,0,0.9997978724,3.256952491e-30,0.0002021276352,0.7999595745,0.2,4.042552705e-05,-0.001472897974,-0.3100735557,0.2943598812,-1.053382528,153,-2041.502306,Bear,0
GLD,2026-03-09,468.0899963,472.6799927,464.7900085,472.5299988,8829800,-0.002069673219,-0.002071817953,0.3335272059,0.06523193874,-0.04712642752,0,Bear,0,0.9999999953,8.631263052e-19,4.668989568e-09,0.7999595735,0.2,4.042646085e-05,-0.001656060423,-0.3411946939,0.2963166789,-1.151452882,158,-2033.752748,Bear,0
GLD,2026-03-16,461.269989,462.7999878,456.9100037,460.4299927,8964100,-0.000889687669,-0.0008900836759,0.2924207664,0.05450555905,-0.07152652078,0,Bear,0,1,1.022602341e-14,4.008271637e-17,0.7999595735,0.2,4.042646085e-05,-0.001764404673,-0.3589385607,0.29337659,-1.223473763,163,-2038.96062,Bear,0
GLD,2026-03-23,405.1199951,414.5400085,399.6400146,404.0400085,36796800,-0.02259421411,-0.02285337449,0.2962688717,0.03166168972,-0.1852389322,0,Bear,0,1,3.191695646e-19,3.767088756e-177,0.7999595735,0.2,4.042646085e-05,0.0002746613502,0.0716662286,0.3427010073,0.2091217332,144,-1721.320263,Bear,0
GLD,2026-03-30,419.5400085,420.1000061,412.6600037,414.5799866,13172100,-0.0002894276133,-0.0002894695055,0.3583000942,-0.007862519885,-0.1639846911,0,Bear,0,1,8.529058086e-20,6.806228382e-156,0.9999595735,2.0454582e-15,4.042646085e-05,0.0004333992594,0.1154039356,0.3444817106,0.3350074388,150,-1715.806301,Bear,0
GLD,2026-04-07,427.8999939,433.4299927,423.1000061,431.8099976,7263500,0.009727589668,0.009680581274,0.3696176319,-0.03435632559,-0.1292397603,0,Bear,0,1,1.720607381e-18,1.739707572e-112,0.9999999991,2.045802321e-15,9.337979217e-10,0.0005976699847,0.162546475,0.3435139274,0.4731874372,154,-1736.472899,Bear,0
GLD,2026-04-14,439.3200073,445.1799927,439.019989,445.0899963,8731700,0.02234934609,0.02210325929,0.3741576656,-0.0550616866,-0.1024601698,0,Bear,0,1,7.781321508e-20,1.393618338e-88,1,2.045645259e-15,8.016543275e-18,0.0004744988022,0.1270163,0.3405874417,0.3729330107,156,-1755.066565,Bear,0
GLD,2026-04-21,438.5499878,440.25,428.7099915,429.5700073,9480000,-0.02832000072,-0.02872874757,0.3114313726,-0.04868488101,-0.1337567804,0,Bear,0,1,2.965019925e-18,2.142391182e-26,1,1.033580133e-18,4.284782364e-27,-0.002827364114,-0.509581297,0.3947124369,-1.291019105,77,-1925.393685,Bear,0
GLD,2026-04-28,420.7200012,422.519989,418.3999939,421.9100037,7723400,-0.0185629131,-0.01873736625,0.2484473183,-0.02866144106,-0.1492034506,0,Bear,0,1,1.632688474e-13,3.367623168e-22,1,3.265473923e-14,6.735674814e-23,-0.00287438698,-0.5153583461,0.3849470543,-1.338777217,82,-1915.908569,Bear,0
GLD,2026-05-05,420.1499939,421.1600037,417.9100037,418.269989,4279900,0.008584306219,0.008547670574,0.2081429218,-0.03049604473,-0.1565436698,0,Bear,0,1,2.966507313e-12,9.043839732e-24,1,6.259561848e-13,6.916551609e-23,-0.002717537819,-0.4958187892,0.370451277,-1.338418356,90,-1907.645145,Bear,0
GLD,2026-05-12,430.7000122,432.980011,425.8500061,432.9299927,6660900,-0.003957209812,-0.003965060284,0.2188275861,-0.02799322291,-0.1269812502,0,Bear,0,0.9999999999,3.209247212e-17,1.207905911e-10,1,6.259622592e-13,2.415811822e-11,-0.002760703793,-0.5012734632,0.3989911515,-1.256352331,75,-1888.861103,Bear,0
